epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.76402,3.22393,4.88819,4.54973,0.00061,0.18182,0.00036,9e-05,2.78009,4.9634,4.15878,0.0002,0.0002,0.0002
2,4.04502,3.09842,4.59471,4.28177,0.00061,0.18182,0.00036,9e-05,2.78076,4.96233,4.15937,0.000415842,0.000415842,0.000415842
3,5.19312,3.02857,4.21147,4.03101,0.00061,0.18182,0.00036,9e-05,2.78697,4.96898,4.16738,0.000627328,0.000627328,0.000627328
4,6.28389,2.88105,3.83645,3.78358,0.00061,0.18182,0.00036,9e-05,2.81302,4.97231,4.19533,0.000834458,0.000834458,0.000834458
5,7.3857,2.69898,3.30788,3.4833,0.00061,0.18182,0.00036,9e-05,2.82195,4.96884,4.20266,0.00103723,0.00103723,0.00103723
6,8.45307,2.67922,3.19387,3.3042,0.00091,0.27273,0.00073,0.00016,2.73533,4.94096,4.12752,0.00123565,0.00123565,0.00123565
7,9.59158,2.55858,2.72541,3.18668,0.00121,0.36364,0.00149,0.00049,2.39122,4.9169,3.74584,0.00142971,0.00142971,0.00142971
8,10.6898,2.47523,2.46546,3.09596,0.00121,0.36364,0.00163,0.00091,2.16142,4.77541,3.43727,0.00161942,0.00161942,0.00161942
9,11.7084,2.26069,2.32128,2.90974,0.00212,0.63636,0.2059,0.12248,2.03513,4.20778,3.08988,0.00180477,0.00180477,0.00180477
10,12.7561,2.34537,2.24388,2.89639,0.00242,0.72727,0.2951,0.1277,2.04991,4.1829,3.24254,0.0018218,0.0018218,0.0018218
11,13.9075,2.24454,2.13566,2.88677,0.00273,0.81818,0.10089,0.03952,2.13308,4.26986,4.55642,0.001802,0.001802,0.001802
12,14.9366,2.19467,2.05547,2.91849,0.00223,0.63636,0.09796,0.04822,2.25485,4.33842,4.5377,0.0017822,0.0017822,0.0017822
13,15.9394,2.17347,1.93869,2.77521,0.00077,0.18182,0.00059,0.00023,2.3903,4.25192,5.15222,0.0017624,0.0017624,0.0017624
