epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.71579,3.22393,4.88819,4.54973,0.00061,0.18182,0.00036,9e-05,2.78009,4.9634,4.15878,0.0002,0.0002,0.0002
2,3.96969,3.08783,4.57473,4.29862,0.00061,0.18182,0.00036,9e-05,2.78017,4.96185,4.15845,0.000417921,0.000417921,0.000417921
3,5.11997,3.00557,4.11456,4.03593,0.00061,0.18182,0.00036,9e-05,2.79391,4.97857,4.16923,0.000633664,0.000633664,0.000633664
4,6.23539,2.76982,3.70766,3.75395,0.00061,0.18182,0.00036,9e-05,2.84068,4.95692,4.20131,0.000847229,0.000847229,0.000847229
5,7.36017,2.68637,3.22245,3.37718,0.00061,0.18182,0.00036,5e-05,2.83473,5.03339,4.21683,0.00105862,0.00105862,0.00105862
6,8.39222,2.57944,3.11081,3.19695,0.00061,0.18182,0.00037,5e-05,2.81409,4.96577,4.17151,0.00126782,0.00126782,0.00126782
7,9.45616,2.49482,2.69131,3.15854,0.00121,0.36364,0.00162,0.00056,2.3168,4.9173,3.67523,0.00147486,0.00147486,0.00147486
8,10.5279,2.41658,2.43516,3.02517,0.00121,0.36364,0.00115,0.00053,2.10585,4.7133,3.45064,0.00167971,0.00167971,0.00167971
9,11.5412,2.27929,2.30595,2.88569,0.00212,0.63636,0.00466,0.00164,2.07698,4.53989,3.28404,0.00188238,0.00188238,0.00188238
10,12.5708,2.33425,2.19737,2.86506,0.00273,0.81818,0.33759,0.13538,1.80581,4.03229,2.76667,0.0019109,0.0019109,0.0019109
11,13.6669,2.19488,2.22575,2.83168,0.00182,0.54545,0.25075,0.09324,2.29636,4.00919,4.2949,0.001901,0.001901,0.001901
12,14.6459,2.24519,2.00871,2.88718,0.81965,0.36364,0.6916,0.261,2.0748,2.79078,3.0652,0.0018911,0.0018911,0.0018911
13,15.6195,2.08418,1.88535,2.7236,1,0.31717,0.76201,0.34976,1.57253,2.91879,2.71013,0.0018812,0.0018812,0.0018812
14,16.6167,2.08469,1.88259,2.74232,0.59339,0.36364,0.49575,0.19651,2.03153,2.73256,2.81095,0.0018713,0.0018713,0.0018713
15,17.5997,1.8887,1.61353,2.51087,0.77301,0.54545,0.66823,0.18624,2.33684,2.76151,3.03397,0.0018614,0.0018614,0.0018614
16,18.6651,1.95675,1.55796,2.57303,0.64149,0.18182,0.67295,0.30003,2.38776,2.77558,3.03055,0.0018515,0.0018515,0.0018515
17,19.6181,1.92241,1.52317,2.54064,0.75246,0.5535,0.68825,0.34498,1.75856,2.1905,2.55573,0.0018416,0.0018416,0.0018416
18,20.6034,1.7697,1.43343,2.49306,1,0.78983,0.95182,0.54557,1.62404,2.11106,2.60219,0.0018317,0.0018317,0.0018317
19,21.5964,1.82754,1.372,2.43336,1,0.25331,0.90109,0.42104,2.01066,2.93943,3.13472,0.0018218,0.0018218,0.0018218
20,22.6538,1.89363,1.38193,2.51008,1,0.48128,0.96324,0.51753,1.8059,2.76007,2.96929,0.0018119,0.0018119,0.0018119
21,23.5118,1.7495,1.29963,2.39791,1,0.68804,0.98,0.70295,1.39251,2.22893,2.25362,0.001802,0.001802,0.001802
22,24.4225,1.69728,1.25145,2.37323,1,0.5254,0.87902,0.32267,2.29156,2.38016,2.88658,0.0017921,0.0017921,0.0017921
23,25.428,1.68932,1.29251,2.42331,0.97294,1,0.995,0.56761,1.47976,1.35719,2.27556,0.0017822,0.0017822,0.0017822
24,26.4391,1.62711,1.2055,2.29568,1,0.79932,0.96071,0.60303,1.5179,1.41199,2.34123,0.0017723,0.0017723,0.0017723
25,27.5605,1.60038,1.11544,2.25485,0.99525,1,0.995,0.67758,1.31664,0.90935,2.1919,0.0017624,0.0017624,0.0017624
26,28.6109,1.57484,1.16153,2.2261,0.91414,0.96972,0.965,0.62934,1.3453,1.11502,2.2876,0.0017525,0.0017525,0.0017525
27,29.5603,1.4555,1.05133,2.09192,1,0.80142,0.97297,0.66132,1.26956,0.94106,2.11425,0.0017426,0.0017426,0.0017426
28,30.4967,1.58997,1.08818,2.21647,0.98745,1,0.995,0.69721,1.32844,0.89672,2.19519,0.0017327,0.0017327,0.0017327
29,31.5002,1.56695,1.05164,2.19114,1,0.84246,0.971,0.63005,1.49446,1.52924,2.15998,0.0017228,0.0017228,0.0017228
30,32.4109,1.62427,1.1047,2.22898,1,0.7213,0.995,0.65725,1.30417,1.57632,2.15862,0.0017129,0.0017129,0.0017129
31,33.3847,1.58657,1.11395,2.25629,0.91657,0.9988,0.98,0.7014,1.05204,1.25216,1.88517,0.001703,0.001703,0.001703
32,34.3503,1.48562,1.013,2.09435,0.89139,1,0.9725,0.67407,1.22994,0.95566,2.00298,0.0016931,0.0016931,0.0016931
33,35.299,1.45179,0.9962,2.10587,0.99012,1,0.995,0.76589,1.02236,0.81429,1.86851,0.0016832,0.0016832,0.0016832
34,36.4501,1.54089,1.05344,2.09257,0.91644,0.99725,0.965,0.70042,1.14385,0.99921,2.01622,0.0016733,0.0016733,0.0016733
35,37.5104,1.54472,1.0424,2.07406,0.99086,1,0.995,0.72534,1.09829,0.78687,1.86958,0.0016634,0.0016634,0.0016634
36,38.5095,1.45831,0.99778,2.01654,0.90786,1,0.9875,0.73621,0.97263,0.77671,1.80942,0.0016535,0.0016535,0.0016535
